アサガオ
アジサイ
アツモリソウ
アネモネ
アブラナ
アマリリス
アヤメ
アルストロメリア
イチゴ
イブキトラノオ
ウメ
エゾエンゴサク
エゾヤマザクラ
エゾルリムラサキ
オオイヌノフグリ
オオガハス
オオバコ
オオバナノエンレイソウ
オオハンゴンソウ
オトギリソウ
オトメユリ
オンシジウム
カキ
カキツバタ
カサブランカ
カタクリ
カトレア
カノコユリ
カボチャ
カラスノエンドウ
カーネーション
ガーベラ
キキョウ
キク
キタコブシ
金日成花
金正日花
キュウリ
キョウチクトウ
キリ
キンシバイ
キンセンカ
キンモクセイ
クズ
クマガイソウ
グラジオラス
クリ
クレマチス
クロッカス
クロユリ
ケイトウ
ゲッカコウ
コウリンタンポポ
コケモモ
コスモス
コブシ
コマクサ
サクラ
サクラソウ
サザンカ
サツキ
サルスベリ
サルビア
ザゼンソウ
シクラメン
シコンノボタン
シャクナゲ
シャクヤク
ジャスミン
シュウメイギク
シラユリ
シラン
シロツメクサ
ジンチョウゲ
シンビジウム
スイセン
スイレン
スズラン
スダチ
スノーフレーク
スミレ
セイヨウタンポポ
ゼラニウム
ソメイヨシノ
ダリア
タンポポ
チゴユリ
チシマザクラ
チューリップ
ツツジ
ツバキ
ツユクサ
デイジー
トマト
トリカブト
ナシ
ナス
ナズナ
ナデシコ
ニッコウキスゲ
ニラ
ニンニク
ネギ
ネジバナ
ネムノキ
ネモトシャクナゲ
ノアザミ
ノバラ
ハイビスカス
バウヒニア
ハギ
ハクモクレン
ハコベ
ハス
ハナショウブ
ハナズオウ
ハナニラ
ハナミズキ
ハマギク
ハマナス
バラ
ハルジオン
パンジー
ピーマン
ヒガンバナ
ヒナゲシ
ヒマワリ
ヒメアヤメ
ヒメオドリコソウ
ヒメジョオン
ヒヤシンス
ヒルガオ
フウセンカズラ
ブーゲンビリア
フキ
フクジュソウ
フジ
ブッソウゲ
フヨウ
フリージア
ブルグマンシア
ベゴニア
ベニバナ
ヘレボラス
ポインセチア
ホウセンカ
ホオズキ
ボケ
ボタン
ホテイアオイ
ホトケノザ
ホトトギス
ポピー
ボロニア
マツバボタン
マリーゴールド
マンジュシャゲ
マーガレット
ミカン
ミズバショウ
ミヤギノハギ
ミヤマキリシマ
ムクゲ
ムラサキケマン
ムラサキサギゴケ
ムラサキツユクサ
モウセンゴケ
モモ
モクレン
ヤエザクラ
ヤグルマギク
ヤシオツツジ
ヤナギタンポポ
ヤマブキ
ヤマユリ
ユウガオ
ユキノシタ
ユキヤナギ
ユリ
ヨルガオ
ライラック
ラベンダー
ラン
リラ
リンゴ
リンドウ
ルドベキア
ルピナス
ルリムスカリ
レブンウスユキソウ
レンゲソウ
レンゲツツジ
ワレモコウ
